time,latitude,longitude,wpp_region,fishing_effort_hours,vessel_count,source
2023-01-01,1.25,95.25,WPP_571_Selat_Malaka,25.3,12,GFW_MOCK
2023-01-01,1.25,95.75,WPP_571_Selat_Malaka,3.48,9,GFW_MOCK
2023-01-01,1.25,96.25,WPP_571_Selat_Malaka,12.72,6,GFW_MOCK
2023-01-01,1.25,96.75,WPP_571_Selat_Malaka,61.19,6,GFW_MOCK
2023-01-01,1.25,97.25,WPP_571_Selat_Malaka,7.12,7,GFW_MOCK
2023-01-01,1.25,97.75,WPP_571_Selat_Malaka,22.78,6,GFW_MOCK
2023-01-01,1.25,98.25,WPP_571_Selat_Malaka,9.66,11,GFW_MOCK
2023-01-01,1.25,98.75,WPP_571_Selat_Malaka,7.55,10,GFW_MOCK
2023-01-01,1.25,99.25,WPP_571_Selat_Malaka,40.07,11,GFW_MOCK
2023-01-01,1.25,99.75,WPP_571_Selat_Malaka,16.52,7,GFW_MOCK
2023-01-01,1.25,100.25,WPP_571_Selat_Malaka,24.16,8,GFW_MOCK
2023-01-01,1.25,100.75,WPP_571_Selat_Malaka,12.74,11,GFW_MOCK
2023-01-01,1.25,101.25,WPP_571_Selat_Malaka,9.86,9,GFW_MOCK
2023-01-01,1.25,101.75,WPP_571_Selat_Malaka,3.37,7,GFW_MOCK
2023-01-01,1.25,102.25,WPP_571_Selat_Malaka,55.19,7,GFW_MOCK
2023-01-01,1.25,102.75,WPP_571_Selat_Malaka,4.53,10,GFW_MOCK
2023-01-01,1.25,103.25,WPP_571_Selat_Malaka,27.97,6,GFW_MOCK
2023-01-01,1.25,103.75,WPP_571_Selat_Malaka,26.51,7,GFW_MOCK
2023-01-01,1.75,95.25,WPP_571_Selat_Malaka,39.41,13,GFW_MOCK
2023-01-01,1.75,95.75,WPP_571_Selat_Malaka,12.1,8,GFW_MOCK
2023-01-01,1.75,96.25,WPP_571_Selat_Malaka,6.44,6,GFW_MOCK
2023-01-01,1.75,96.75,WPP_571_Selat_Malaka,1.45,10,GFW_MOCK
